OBJECTID,VALUE,VALUE_11,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_32,VALUE_33,VALUE_41,VALUE_42,VALUE_43,VALUE_46,VALUE_51,VALUE_52,VALUE_53,VALUE_64,VALUE_65,VALUE_66
1,21,2999999.999999996300000,1999999.999999997700000,4046999999.999995200000000,4999999.999999994400000,2999999.999999996300000,15999999.999999981000000,11999999.999999985000000,2999999.999999996300000,0.000000000000000,0.000000000000000,999999.999999998840000,1999999.999999997700000,0.000000000000000,3999999.999999995300000,1999999.999999997700000,7999999.999999990700000,0.000000000000000,0.000000000000000,0.000000000000000
2,22,999999.999999998840000,999999.999999998840000,72999999.999999911000000,1022999999.999998800000000,999999.999999998840000,1999999.999999997700000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,999999.999999998840000,999999.999999998840000,0.000000000000000,0.000000000000000,999999.999999998840000,0.000000000000000,0.000000000000000,0.000000000000000
3,23,999999.999999998840000,2999999.999999996300000,124999999.999999850000000,0.000000000000000,1259999999.999998600000000,1999999.999999997700000,0.000000000000000,999999.999999998840000,0.000000000000000,999999.999999998840000,999999.999999998840000,0.000000000000000,0.000000000000000,6999999.999999991600000,2999999.999999996300000,8999999.999999988800000,0.000000000000000,0.000000000000000,0.000000000000000
4,24,1999999.999999997700000,0.000000000000000,999999.999999998840000,0.000000000000000,999999.999999998840000,55999999.999999933000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1999999.999999997700000,0.000000000000000,0.000000000000000,0.000000000000000
5,31,2999999.999999996300000,0.000000000000000,4999999.999999994400000,0.000000000000000,3999999.999999995300000,999999.999999998840000,532999999.999999400000000,0.000000000000000,0.000000000000000,0.000000000000000,999999.999999998840000,1999999.999999997700000,3999999.999999995300000,2999999.999999996300000,0.000000000000000,1999999.999999997700000,999999.999999998840000,0.000000000000000,0.000000000000000
6,32,2999999.999999996300000,0.000000000000000,8999999.999999988800000,0.000000000000000,8999999.999999988800000,0.000000000000000,0.000000000000000,358999999.999999580000000,0.000000000000000,0.000000000000000,999999.999999998840000,0.000000000000000,999999.999999998840000,0.000000000000000,999999.999999998840000,2999999.999999996300000,0.000000000000000,0.000000000000000,0.000000000000000
7,33,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3999999.999999995300000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
8,41,1999999.999999997700000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,288999999.999999640000000,87999999.999999896000000,0.000000000000000,8999999.999999988800000,999999.999999998840000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
9,42,10999999.999999987000000,999999.999999998840000,999999.999999998840000,0.000000000000000,3999999.999999995300000,0.000000000000000,999999.999999998840000,0.000000000000000,0.000000000000000,999999.999999998840000,1455999999.999998300000000,16999999.999999981000000,191999999.999999760000000,2999999.999999996300000,0.000000000000000,3999999.999999995300000,37999999.999999955000000,0.000000000000000,0.000000000000000
10,43,99999999.999999881000000,9999999.999999988800000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2999999.999999996300000,0.000000000000000,0.000000000000000,999999.999999998840000,6999999.999999991600000,356999999.999999580000000,19999999.999999978000000,5999999.999999992500000,999999.999999998840000,1999999.999999997700000,0.000000000000000,0.000000000000000,0.000000000000000
