OBJECTID,VALUE,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_32,VALUE_33,VALUE_41,VALUE_42,VALUE_43,VALUE_46,VALUE_51,VALUE_52,VALUE_53,VALUE_61,VALUE_62,VALUE_63,VALUE_64,VALUE_65,VALUE_66,VALUE_113,VALUE_122,VALUE_123
1,11,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,0.000000000000000,0.000000000000000,112000000.000000000000000,0.000000000000000,4000000.000000000000000
2,12,95000000.000000000000000,2000000.000000000000000,19000000.000000000000000,3000000.000000000000000,25000000.000000000000000,33000000.000000000000000,3000000.000000000000000,4000000.000000000000000,1000000.000000000000000,3000000.000000000000000,3000000.000000000000000,10000000.000000000000000,10000000.000000000000000,3000000.000000000000000,4000000.000000000000000,0.000000000000000,25000000.000000000000000,10000000.000000000000000,0.000000000000000,0.000000000000000,43000000.000000000000000,296000000.000000000000000,10887000000.000000000000000
3,21,694000000.000000000000000,0.000000000000000,2000000.000000000000000,1000000.000000000000000,9000000.000000000000000,17000000.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,108000000.000000000000000
4,22,2000000.000000000000000,152000000.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,14000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30000000.000000000000000
5,23,1000000.000000000000000,0.000000000000000,376000000.000000000000000,0.000000000000000,5000000.000000000000000,9000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,32000000.000000000000000
6,24,0.000000000000000,0.000000000000000,0.000000000000000,7000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
7,25,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000
8,31,75000000.000000000000000,12000000.000000000000000,26000000.000000000000000,0.000000000000000,4887000000.000000000000000,60000000.000000000000000,5000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,3000000.000000000000000,1000000.000000000000000,2000000.000000000000000,0.000000000000000,25000000.000000000000000,0.000000000000000,32000000.000000000000000,6000000.000000000000000,0.000000000000000,0.000000000000000,10000000.000000000000000,20000000.000000000000000,543000000.000000000000000
9,32,42000000.000000000000000,5000000.000000000000000,38000000.000000000000000,2000000.000000000000000,94000000.000000000000000,6428000000.000000000000000,21000000.000000000000000,1000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,13000000.000000000000000,0.000000000000000,100000000.000000000000000,0.000000000000000,22000000.000000000000000,11000000.000000000000000,0.000000000000000,0.000000000000000,4000000.000000000000000,14000000.000000000000000,750000000.000000000000000
10,33,7000000.000000000000000,1000000.000000000000000,4000000.000000000000000,0.000000000000000,18000000.000000000000000,26000000.000000000000000,1052000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,13000000.000000000000000,0.000000000000000,10000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7000000.000000000000000,66000000.000000000000000
