OBJECTID,VALUE,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_32,VALUE_33,VALUE_41,VALUE_42,VALUE_43,VALUE_46,VALUE_51,VALUE_52,VALUE_53,VALUE_61,VALUE_63,VALUE_64,VALUE_66
1,21,2999999.999999998600000,30231999999.999985000000000,21999999.999999989000000,127999999.999999940000000,432999999.999999820000000,58999999.999999970000000,1999999.999999999100000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2999999.999999998600000,0.000000000000000,0.000000000000000,3999999.999999998100000,0.000000000000000
2,22,0.000000000000000,13999999.999999993000000,217999999.999999910000000,0.000000000000000,2999999.999999998600000,7999999.999999996300000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
3,23,5999999.999999997200000,185999999.999999910000000,2999999.999999998600000,5507999999.999997100000000,23999999.999999989000000,5999999.999999997200000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1999999.999999999100000,0.000000000000000
4,24,0.000000000000000,16999999.999999993000000,0.000000000000000,0.000000000000000,839999999.999999640000000,999999.999999999530000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
5,31,56999999.999999970000000,186999999.999999910000000,49999999.999999978000000,55999999.999999970000000,71999999.999999970000000,12706999999.999994000000000,6999999.999999996300000,0.000000000000000,0.000000000000000,0.000000000000000,999999.999999999530000,1999999.999999999100000,0.000000000000000,3999999.999999998100000,1999999.999999999100000,0.000000000000000,0.000000000000000,9999999.999999996300000,0.000000000000000
6,32,9999999.999999996300000,7999999.999999996300000,7999999.999999996300000,4999999.999999998100000,2999999.999999998600000,22999999.999999989000000,2634999999.999998600000000,999999.999999999530000,0.000000000000000,0.000000000000000,0.000000000000000,1999999.999999999100000,0.000000000000000,999999.999999999530000,0.000000000000000,0.000000000000000,0.000000000000000,1999999.999999999100000,0.000000000000000
7,33,1999999.999999999100000,0.000000000000000,1999999.999999999100000,0.000000000000000,0.000000000000000,999999.999999999530000,999999.999999999530000,226999999.999999880000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1999999.999999999100000,0.000000000000000
8,41,0.000000000000000,1999999.999999999100000,0.000000000000000,0.000000000000000,0.000000000000000,999999.999999999530000,0.000000000000000,0.000000000000000,126999999.999999940000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
9,42,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,48999999.999999978000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
10,43,0.000000000000000,999999.999999999530000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,28999999.999999985000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
11,46,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,24999999.999999989000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
12,51,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,78999999.999999970000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
13,52,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,999999.999999999530000,40999999.999999978000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
14,53,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,999999.999999999530000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,22999999.999999989000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
15,61,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,999999.999999999530000,0.000000000000000,0.000000000000000,0.000000000000000
16,63,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,36999999.999999985000000,999999.999999999530000,0.000000000000000
17,64,1999999.999999999100000,0.000000000000000,999999.999999999530000,0.000000000000000,0.000000000000000,3999999.999999998100000,0.000000000000000,999999.999999999530000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,581999999.999999760000000,0.000000000000000
18,66,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,67999999.999999970000000
19,121,181999999.999999910000000,0.000000000000000,999999.999999999530000,0.000000000000000,0.000000000000000,999999.999999999530000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
20,122,24999999.999999989000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
21,123,1512999999.999999300000000,999999.999999999530000,3999999.999999998100000,2999999.999999998600000,0.000000000000000,24999999.999999989000000,999999.999999999530000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1999999.999999999100000,0.000000000000000
