OBJECTID,VALUE,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_32,VALUE_33,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_46,VALUE_51,VALUE_52,VALUE_53,VALUE_61,VALUE_62,VALUE_63,VALUE_64,VALUE_65,VALUE_66,VALUE_113,VALUE_121,VALUE_122,VALUE_123
1,11,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,1000000.000000000000000,3000000.000000000000000,2000000.000000000000000,1000000.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,3000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,40000000.000000000000000,0.000000000000000,0.000000000000000,45000000.000000000000000
2,12,3000000.000000000000000,23000000.000000000000000,3000000.000000000000000,49000000.000000000000000,81000000.000000000000000,242000000.000000000000000,130000000.000000000000000,12000000.000000000000000,1000000.000000000000000,4000000.000000000000000,0.000000000000000,8000000.000000000000000,6000000.000000000000000,52000000.000000000000000,0.000000000000000,7000000.000000000000000,22000000.000000000000000,54000000.000000000000000,28000000.000000000000000,6000000.000000000000000,9000000.000000000000000,88000000.000000000000000,29000000.000000000000000,2000000.000000000000000,3294000000.000000000000000
3,21,120000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000
4,22,0.000000000000000,501000000.000000000000000,51000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,11000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,0.000000000000000,5000000.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000
5,23,0.000000000000000,0.000000000000000,76000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000
6,24,0.000000000000000,0.000000000000000,0.000000000000000,20000000.000000000000000,4000000.000000000000000,2000000.000000000000000,11000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,21000000.000000000000000
7,31,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,4833000000.000000000000000,8000000.000000000000000,9000000.000000000000000,0.000000000000000,0.000000000000000,34000000.000000000000000,0.000000000000000,3000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6000000.000000000000000,20000000.000000000000000,0.000000000000000,0.000000000000000,10000000.000000000000000,0.000000000000000,0.000000000000000,69000000.000000000000000
8,32,1000000.000000000000000,11000000.000000000000000,0.000000000000000,7000000.000000000000000,18000000.000000000000000,4707000000.000000000000000,113000000.000000000000000,26000000.000000000000000,1000000.000000000000000,2000000.000000000000000,0.000000000000000,4000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10000000.000000000000000,0.000000000000000,57000000.000000000000000,14000000.000000000000000,3000000.000000000000000,3000000.000000000000000,27000000.000000000000000,3000000.000000000000000,0.000000000000000,240000000.000000000000000
9,33,2000000.000000000000000,10000000.000000000000000,5000000.000000000000000,33000000.000000000000000,20000000.000000000000000,346000000.000000000000000,10814000000.000000000000000,51000000.000000000000000,3000000.000000000000000,21000000.000000000000000,0.000000000000000,4000000.000000000000000,11000000.000000000000000,5000000.000000000000000,0.000000000000000,263000000.000000000000000,12000000.000000000000000,544000000.000000000000000,40000000.000000000000000,17000000.000000000000000,6000000.000000000000000,47000000.000000000000000,1000000.000000000000000,0.000000000000000,450000000.000000000000000
10,41,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,5000000.000000000000000,154000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
11,42,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,17000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000
