OBJECTID,VALUE,VALUE_11,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_32,VALUE_33,VALUE_41,VALUE_42,VALUE_43,VALUE_45,VALUE_46,VALUE_51,VALUE_52,VALUE_53,VALUE_61,VALUE_63,VALUE_64,VALUE_67,VALUE_99
1,21,0.000000000000000,0.000000000000000,53000000.000000037000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000001400000,1000000.000000000700000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
2,22,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000001400000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
3,23,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,14000000.000000009000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000700000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
4,24,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,75000000.000000060000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3000000.000000001900000,1000000.000000000700000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
5,31,1000000.000000000700000,123000000.000000090000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,114000000.000000070000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,14000000.000000009000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5000000.000000003700000,0.000000000000000,2000000.000000001400000,7000000.000000004700000,0.000000000000000,0.000000000000000
6,32,0.000000000000000,19000000.000000015000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,120000000.000000090000000,0.000000000000000,0.000000000000000,0.000000000000000,8000000.000000005600000,0.000000000000000,0.000000000000000,1000000.000000000700000,0.000000000000000,15000000.000000011000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
7,33,0.000000000000000,21000000.000000015000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,141000000.000000090000000,0.000000000000000,0.000000000000000,13000000.000000009000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000001400000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
8,41,0.000000000000000,1000000.000000000700000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,225000000.000000150000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
9,42,0.000000000000000,4000000.000000002800000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7000000.000000004700000,1000000.000000000700000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
10,43,1000000.000000000700000,15000000.000000011000000,1000000.000000000700000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,285000000.000000180000000,0.000000000000000,0.000000000000000,2000000.000000001400000,3000000.000000001900000,10000000.000000007000000,0.000000000000000,1000000.000000000700000,9000000.000000005600000,0.000000000000000,0.000000000000000
11,45,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9000000.000000005600000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000001400000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4000000.000000002800000
12,46,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,77000000.000000060000000,0.000000000000000,1000000.000000000700000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
