OBJECTID,VALUE,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_32,VALUE_33,VALUE_41,VALUE_42,VALUE_43,VALUE_46,VALUE_51,VALUE_52,VALUE_53,VALUE_61,VALUE_62,VALUE_63,VALUE_64,VALUE_65,VALUE_66
1,21,10000000.000000000000000,625000000.000000000000000,3000000.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,2000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5000000.000000000000000,1000000.000000000000000,3000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000
2,22,1000000.000000000000000,3000000.000000000000000,243000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
3,23,0.000000000000000,0.000000000000000,0.000000000000000,57000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
4,24,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,56000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
5,31,29000000.000000000000000,20000000.000000000000000,14000000.000000000000000,11000000.000000000000000,1000000.000000000000000,16914000000.000000000000000,181000000.000000000000000,39000000.000000000000000,5000000.000000000000000,3000000.000000000000000,1000000.000000000000000,4000000.000000000000000,14000000.000000000000000,9000000.000000000000000,52000000.000000000000000,3000000.000000000000000,0.000000000000000,11000000.000000000000000,3000000.000000000000000,0.000000000000000,1000000.000000000000000
6,32,21000000.000000000000000,11000000.000000000000000,11000000.000000000000000,10000000.000000000000000,0.000000000000000,519000000.000000000000000,25209000000.000000000000000,371000000.000000000000000,8000000.000000000000000,10000000.000000000000000,0.000000000000000,7000000.000000000000000,10000000.000000000000000,14000000.000000000000000,49000000.000000000000000,69000000.000000000000000,0.000000000000000,25000000.000000000000000,2000000.000000000000000,0.000000000000000,4000000.000000000000000
7,33,28000000.000000000000000,10000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,151000000.000000000000000,161000000.000000000000000,16266000000.000000000000000,0.000000000000000,10000000.000000000000000,1000000.000000000000000,0.000000000000000,2000000.000000000000000,3000000.000000000000000,21000000.000000000000000,76000000.000000000000000,3000000.000000000000000,18000000.000000000000000,1000000.000000000000000,0.000000000000000,1000000.000000000000000
8,41,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,52000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
9,42,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,5000000.000000000000000,10000000.000000000000000,0.000000000000000,283000000.000000000000000,0.000000000000000,22000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,2000000.000000000000000,0.000000000000000,7000000.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000
10,43,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
