OBJECTID,VALUE,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_32,VALUE_33,VALUE_41,VALUE_42,VALUE_43,VALUE_46,VALUE_51,VALUE_52,VALUE_53,VALUE_64,VALUE_65,VALUE_111,VALUE_112,VALUE_113,VALUE_114,VALUE_121,VALUE_122,VALUE_123,VALUE_124
1,11,1000000.000000000000000,4000000.000000000000000,7000000.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,87000000.000000000000000,158000000.000000000000000,20000000.000000000000000,40000000.000000000000000,5000000.000000000000000,11000000.000000000000000,19000000.000000000000000,1000000.000000000000000,293000000.000000000000000,703000000.000000000000000,3990000000.000000000000000,2000000.000000000000000,1000000.000000000000000,3000000.000000000000000,20000000.000000000000000,0.000000000000000
2,12,4000000.000000000000000,2000000.000000000000000,11000000.000000000000000,0.000000000000000,3000000.000000000000000,1000000.000000000000000,0.000000000000000,2000000.000000000000000,13000000.000000000000000,37000000.000000000000000,3000000.000000000000000,41000000.000000000000000,2000000.000000000000000,10000000.000000000000000,3000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6000000.000000000000000,0.000000000000000,329000000.000000000000000,879000000.000000000000000,2097000000.000000000000000,2000000.000000000000000
3,21,4011000000.000000000000000,19000000.000000000000000,5000000.000000000000000,4000000.000000000000000,10000000.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,1000000.000000000000000,1000000.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,3000000.000000000000000,2000000.000000000000000,0.000000000000000
4,22,0.000000000000000,1341000000.000000000000000,1000000.000000000000000,5000000.000000000000000,5000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,4000000.000000000000000,0.000000000000000,0.000000000000000
5,23,9000000.000000000000000,2000000.000000000000000,3551000000.000000000000000,0.000000000000000,4000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,2000000.000000000000000,7000000.000000000000000,0.000000000000000,5000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,1000000.000000000000000,0.000000000000000,3000000.000000000000000,16000000.000000000000000,9000000.000000000000000,0.000000000000000
6,24,8000000.000000000000000,8000000.000000000000000,6000000.000000000000000,44000000.000000000000000,5000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
7,31,14000000.000000000000000,0.000000000000000,3000000.000000000000000,0.000000000000000,723000000.000000000000000,0.000000000000000,0.000000000000000,4000000.000000000000000,5000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
8,32,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,189000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
9,33,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,61000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
10,41,2000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,0.000000000000000,628000000.000000000000000,0.000000000000000,0.000000000000000,8000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,0.000000000000000
