OBJECTID,VALUE,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_32,VALUE_33,VALUE_41,VALUE_42,VALUE_43,VALUE_46,VALUE_51,VALUE_52,VALUE_53,VALUE_61,VALUE_63,VALUE_64,VALUE_65,VALUE_66,VALUE_111,VALUE_112,VALUE_113,VALUE_121,VALUE_122,VALUE_123
1,11,26000000.000000000000000,1000000.000000000000000,15000000.000000000000000,1000000.000000000000000,0.000000000000000,52000000.000000000000000,2000000.000000000000000,1000000.000000000000000,2000000.000000000000000,17000000.000000000000000,4000000.000000000000000,4000000.000000000000000,59000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,42000000.000000000000000,2000000.000000000000000,0.000000000000000,13000000.000000000000000,105000000.000000000000000,1182000000.000000000000000,11000000.000000000000000,69000000.000000000000000,2760000000.000000000000000
2,12,52000000.000000000000000,3000000.000000000000000,7000000.000000000000000,0.000000000000000,34000000.000000000000000,10000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,10000000.000000000000000,4000000.000000000000000,37000000.000000000000000,30000000.000000000000000,1000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,2000000.000000000000000,255000000.000000000000000,231000000.000000000000000,1806000000.000000000000000,9687000000.000000000000000
3,21,5219000000.000000000000000,34000000.000000000000000,21000000.000000000000000,1000000.000000000000000,21000000.000000000000000,14000000.000000000000000,1000000.000000000000000,2000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,1000000.000000000000000,59000000.000000000000000,219000000.000000000000000
4,22,3000000.000000000000000,417000000.000000000000000,3000000.000000000000000,1000000.000000000000000,3000000.000000000000000,3000000.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,7000000.000000000000000,1000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6000000.000000000000000,69000000.000000000000000
5,23,32000000.000000000000000,6000000.000000000000000,1126000000.000000000000000,1000000.000000000000000,1000000.000000000000000,28000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,5000000.000000000000000,5000000.000000000000000,16000000.000000000000000,77000000.000000000000000,211000000.000000000000000
6,24,0.000000000000000,0.000000000000000,0.000000000000000,13000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
7,25,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000
8,31,32000000.000000000000000,4000000.000000000000000,5000000.000000000000000,0.000000000000000,1023000000.000000000000000,96000000.000000000000000,14000000.000000000000000,2000000.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,6000000.000000000000000,0.000000000000000,17000000.000000000000000,5000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,14000000.000000000000000,353000000.000000000000000
9,32,55000000.000000000000000,13000000.000000000000000,23000000.000000000000000,2000000.000000000000000,47000000.000000000000000,2119000000.000000000000000,42000000.000000000000000,2000000.000000000000000,4000000.000000000000000,4000000.000000000000000,13000000.000000000000000,1000000.000000000000000,15000000.000000000000000,0.000000000000000,46000000.000000000000000,10000000.000000000000000,4000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,16000000.000000000000000,0.000000000000000,23000000.000000000000000,308000000.000000000000000
10,33,7000000.000000000000000,4000000.000000000000000,4000000.000000000000000,0.000000000000000,51000000.000000000000000,17000000.000000000000000,299000000.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6000000.000000000000000,0.000000000000000,7000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,25000000.000000000000000
