OBJECTID,VALUE,VALUE_11,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_32,VALUE_33,VALUE_41,VALUE_42,VALUE_43,VALUE_46,VALUE_51,VALUE_52,VALUE_53,VALUE_63,VALUE_64,VALUE_65,VALUE_66
1,21,5000000.000000000000000,141000000.000000000000000,19931000000.000000000000000,156000000.000000000000000,9000000.000000000000000,1000000.000000000000000,59000000.000000000000000,3000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,5000000.000000000000000,0.000000000000000,33000000.000000000000000,0.000000000000000,2000000.000000000000000
2,22,18000000.000000000000000,12000000.000000000000000,6000000.000000000000000,1078000000.000000000000000,1000000.000000000000000,0.000000000000000,15000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9000000.000000000000000,0.000000000000000,0.000000000000000
3,23,3000000.000000000000000,8000000.000000000000000,11000000.000000000000000,28000000.000000000000000,660000000.000000000000000,0.000000000000000,15000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
4,24,0.000000000000000,2000000.000000000000000,2000000.000000000000000,13000000.000000000000000,1000000.000000000000000,330000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
5,31,9000000.000000000000000,31000000.000000000000000,9000000.000000000000000,24000000.000000000000000,0.000000000000000,0.000000000000000,813000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7000000.000000000000000,0.000000000000000,0.000000000000000
6,32,2000000.000000000000000,14000000.000000000000000,1000000.000000000000000,3000000.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,430000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000
7,33,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
8,41,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,185000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
9,42,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,29000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
10,43,2000000.000000000000000,3000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,194000000.000000000000000,4000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000
11,46,53000000.000000000000000,8000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,1464000000.000000000000000,3000000.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,12000000.000000000000000,0.000000000000000,0.000000000000000
12,51,1000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,263000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
13,52,21000000.000000000000000,11000000.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,1000000.000000000000000,5000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6000000.000000000000000,1494000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000
14,53,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
15,63,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,167000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
16,64,164000000.000000000000000,69000000.000000000000000,6000000.000000000000000,4000000.000000000000000,0.000000000000000,1000000.000000000000000,48000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5000000.000000000000000,7000000.000000000000000,1000000.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,2812000000.000000000000000,0.000000000000000,0.000000000000000
17,65,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000
18,66,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000000.000000000000000
19,112,317000000.000000000000000,8000000.000000000000000,1000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,6000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
20,113,5071000000.000000000000000,341000000.000000000000000,5000000.000000000000000,2000000.000000000000000,0.000000000000000,0.000000000000000,17000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9000000.000000000000000,0.000000000000000,2000000.000000000000000,0.000000000000000,11000000.000000000000000,0.000000000000000,0.000000000000000
21,121,0.000000000000000,31000000.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
22,122,6000000.000000000000000,1971000000.000000000000000,12000000.000000000000000,24000000.000000000000000,0.000000000000000,0.000000000000000,41000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5000000.000000000000000,0.000000000000000,0.000000000000000
23,123,694000000.000000000000000,23463000000.000000000000000,43000000.000000000000000,83000000.000000000000000,2000000.000000000000000,0.000000000000000,118000000.000000000000000,1000000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3000000.000000000000000,8000000.000000000000000,50000000.000000000000000,21000000.000000000000000,10000000.000000000000000,0.000000000000000,12000000.000000000000000,0.000000000000000,0.000000000000000
